Parameters;precision;recall;f1-score;auc_roc;accuracy;time
SVDD_Linear_scale_[3, 6, 9, 12]_5_[384, 128];0.6039204381666187;0.52375;0.5609854063462312;0.6285390740740741;0.5926708074534162;4.362171649932861
SVDD_Linear_auto_[3, 6, 9, 12]_5_[384, 128];0.6039204381666187;0.52375;0.5609854063462312;0.6285390740740741;0.5926708074534162;3.6442015171051025
SVDD_Sigmoid_scale_[3, 6, 9, 12]_5_[384, 128];0.6014781125639568;0.529;0.5629156690609204;0.6237661728395061;0.5918012422360248;5.589681148529053
SVDD_Sigmoid_auto_[3, 6, 9, 12]_5_[384, 128];0.6106741573033708;0.5435;0.5751322751322752;0.6336122839506173;0.6009937888198758;7.969529628753662
SVDD_Poly_2_scale_[3, 6, 9, 12]_5_[384, 128];0.630095238095238;0.4135;0.4993207547169811;0.5962429012345679;0.5879503105590063;3.550855875015259
SVDD_Poly_2_auto_[3, 6, 9, 12]_5_[384, 128];0.630095238095238;0.4135;0.4993207547169811;0.5962429012345679;0.5879503105590063;4.099479913711548
SVDD_Poly_3_scale_[3, 6, 9, 12]_5_[384, 128];0.5939171122994652;0.44425;0.5082951945080091;0.6119383333333333;0.5729192546583851;3.797524929046631
SVDD_Poly_3_auto_[3, 6, 9, 12]_5_[384, 128];0.5939171122994652;0.44425;0.5082951945080091;0.6119383333333333;0.5729192546583851;4.307341575622559
SVDD_Poly_4_scale_[3, 6, 9, 12]_5_[384, 128];0.6524741081703107;0.42525;0.5149084304525503;0.5895267901234569;0.6018633540372671;3.385775327682495
SVDD_Poly_4_auto_[3, 6, 9, 12]_5_[384, 128];0.6524741081703107;0.42525;0.5149084304525503;0.5895267901234569;0.6018633540372671;3.7295966148376465
SVDD_RBF_0.001_scale_[3, 6, 9, 12]_5_[384, 128];0.5021579080985021;0.989;0.6661054049503283;0.5063156172839506;0.5073291925465838;0.12309122085571289
SVDD_RBF_0.01_scale_[3, 6, 9, 12]_5_[384, 128];0.5033915992695017;0.96475;0.6615806617521002;0.5201256172839506;0.5095652173913043;0.3761775493621826
SVDD_RBF_0.05_scale_[3, 6, 9, 12]_5_[384, 128];0.5131560233252738;0.902;0.6541564681352552;0.5326764197530864;0.5260869565217391;0.7979104518890381
SVDD_RBF_0.1_scale_[3, 6, 9, 12]_5_[384, 128];0.5333333333333333;0.862;0.6589584328714764;0.6278305555555556;0.5566459627329192;1.8448452949523926
SVDD_RBF_0.2_scale_[3, 6, 9, 12]_5_[384, 128];0.5702364394993046;0.7175;0.6354478025019373;0.6404582716049383;0.5909316770186336;3.297305107116699
SVDD_RBF_0.3_scale_[3, 6, 9, 12]_5_[384, 128];0.5864390478480404;0.60975;0.597867385709033;0.6366543827160493;0.5924223602484472;3.908376693725586
